Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,DetectorTime(ms),DescriptorTime(ms),#MatchedPoints,MatchingTime(ms))
BRISK,BRIEF,8,2639,266,29.113,1.307,189,0.483
BRISK,BRIEF,9,2672,254,28.37,1.158,183,0.346
,,,,,,,,
BRISK,ORB,0,2757,264,39.381,4.378,0,0
BRISK,ORB,1,2777,282,29.304,4.224,162,0.366
BRISK,ORB,2,2741,282,29.255,3.993,175,0.709
BRISK,ORB,3,2735,277,28.93,6.921,158,0.485
BRISK,ORB,4,2757,297,29.19,3.706,167,0.358
BRISK,ORB,5,2695,279,28.873,3.858,160,0.354
BRISK,ORB,6,2715,289,28.199,3.918,182,0.366
BRISK,ORB,7,2628,272,29.062,3.541,167,0.362
BRISK,ORB,8,2639,266,27.85,4.328,171,0.395
BRISK,ORB,9,2672,254,28.868,3.847,172,0.412
,,,,,,,,
BRISK,FREAK,0,2757,264,29.952,31.472,0,0
BRISK,FREAK,1,2777,282,29.418,28.563,160,0.326
BRISK,FREAK,2,2741,282,28.55,28.652,177,0.339
BRISK,FREAK,3,2735,277,28.185,28.604,155,0.359
BRISK,FREAK,4,2757,297,29.58,28.34,173,0.375
BRISK,FREAK,5,2695,279,28.726,28.741,161,0.416
BRISK,FREAK,6,2715,289,27.542,27.82,183,0.365
BRISK,FREAK,7,2628,272,27.829,28.642,169,0.37
BRISK,FREAK,8,2639,266,29.312,28.628,178,0.389
BRISK,FREAK,9,2672,254,29.556,28.878,168,0.339
,,,,,,,,
BRISK,AKAZE,0,0,0,0,0,0,0
BRISK,AKAZE,1,0,0,0,0,0,0
BRISK,AKAZE,2,0,0,0,0,0,0
BRISK,AKAZE,3,0,0,0,0,0,0
BRISK,AKAZE,4,0,0,0,0,0,0
BRISK,AKAZE,5,0,0,0,0,0,0
BRISK,AKAZE,6,0,0,0,0,0,0
BRISK,AKAZE,7,0,0,0,0,0,0
BRISK,AKAZE,8,0,0,0,0,0,0
BRISK,AKAZE,9,0,0,0,0,0,0
,,,,,,,,
BRISK,SIFT,0,2757,264,29.212,23.885,0,0
BRISK,SIFT,1,2777,282,28.552,23.298,182,0.463
BRISK,SIFT,2,2741,282,29.232,24.133,193,0.462
BRISK,SIFT,3,2735,277,28.279,23.274,169,0.468
BRISK,SIFT,4,2757,297,34.718,27.906,183,0.71
BRISK,SIFT,5,2695,279,29.239,20.232,171,0.555
BRISK,SIFT,6,2715,289,28.507,22.071,195,0.46
